Report Section,
Chunk Information,
Property,Value
Chunk Size,5 KiB
Embedding Size(per chunk),4 KiB
Metadata Size(per chunk),2 KiB
Model Used,cohere-english-v3

Page and Topic Information,
Property,Value
Chunks per Page,1
Pages per Topic,25
Topics per Subject,40
Subjects per Semester,5

Question Generation,
Property,Value
Row Reads per Question,100
Row Reads per Set(Question),500

Answer and Feedback Generation,
Property,Value
Row Reads per Answer,10
Row Reads per Set (Answer/Feedback),50
Total Reads per Set,600

User Activity,
Property,Value
Sets per User per Month,100
Total Reads per Month per User,60k rows
Number of Users,200
Total Reads per Month,12M rows

Data Entry Sizes,
Property,Value
"Entry Size (Question, Response, Answer, Feedback)",3 KiB
Set Size per User per Month,15 KiB
Total Size per User per Month,1.5 MiB
Total Size per Month,300 MiB
